,client_id,filepath,group,label
1,2,face-station/17.01.18/002_01_003_2_81,train,attack/3D/flexiblemask
2,2,face-station/14.03.18/002_04_010_2_82,train,attack/3D/flexiblemask
3,2,face-station/14.03.18/002_04_010_2_13,train,attack/3D/rigidmask
4,2,face-station/14.03.18/002_04_010_2_81,train,attack/3D/flexiblemask
5,2,face-station/29.01.18/002_01_020_2_13,train,attack/3D/rigidmask
6,2,face-station/30.01.18/002_01_028_2_82,train,attack/3D/flexiblemask
7,2,face-station/31.01.18/002_01_034_2_81,train,attack/3D/flexiblemask
8,2,face-station/07.02.18/002_02_044_2_82,train,attack/3D/flexiblemask
9,2,face-station/01.02.18/002_01_000_0_00,train,bonafide
10,2,face-station/01.02.18/002_01_000_0_01,train,bonafide
11,2,face-station/02.02.18/002_01_056_2_82,train,attack/3D/flexiblemask
12,2,face-station/02.02.18/002_01_050_2_13,train,attack/3D/rigidmask
13,2,face-station/06.02.18/002_02_055_2_13,train,attack/3D/rigidmask
14,2,face-station/06.02.18/002_02_001_2_81,train,attack/3D/flexiblemask
15,2,face-station/06.02.18/002_02_018_2_82,train,attack/3D/flexiblemask
16,2,face-station/08.02.18/002_02_000_0_00,train,bonafide
17,2,face-station/08.02.18/002_02_000_0_01,train,bonafide
18,2,face-station/08.02.18/002_03_000_0_00,train,bonafide
19,2,face-station/08.02.18/002_03_000_0_01,train,bonafide
20,2,face-station/08.02.18/002_03_022_2_81,train,attack/3D/flexiblemask
21,2,face-station/09.02.18/002_02_000_2_82,train,attack/3D/flexiblemask
22,2,face-station/13.02.18/002_02_031_2_81,train,attack/3D/flexiblemask
23,2,face-station/13.02.18/002_03_047_2_81,train,attack/3D/flexiblemask
24,2,face-station/14.02.18/002_03_051_2_82,train,attack/3D/flexiblemask
25,2,face-station/19.02.18/002_02_000_2_13,train,attack/3D/rigidmask
26,2,face-station/19.02.18/002_02_000_2_81,train,attack/3D/flexiblemask
27,2,face-station/21.02.18/002_03_000_2_82,train,attack/3D/flexiblemask
28,2,face-station/21.02.18/002_03_020_2_13,train,attack/3D/rigidmask
29,2,face-station/21.02.18/002_03_000_2_13,train,attack/3D/rigidmask
30,2,face-station/22.02.18/002_03_044_2_13,train,attack/3D/rigidmask
31,2,face-station/22.02.18/002_03_000_2_81,train,attack/3D/flexiblemask
32,2,face-station/27.02.18/002_01_000_2_81,train,attack/3D/flexiblemask
33,2,face-station/27.02.18/002_01_000_2_82,train,attack/3D/flexiblemask
34,2,face-station/27.02.18/002_01_000_2_13,train,attack/3D/rigidmask
35,2,face-station/01.05.18/002_06_064_2_13,train,attack/3D/rigidmask
36,2,face-station/02.05.18/002_05_003_2_82,train,attack/3D/flexiblemask
